,unlist.var_labels.
j2_1,Guava  score using FFQ 1st pregnancy visit
j3_1,Orange  score using FFQ 1st pregnancy visit
j4_1,Sweet lime  score using FFQ 1st pregnancy visit
j5_1,Amla  score using FFQ 1st pregnancy visit
j6_1,Tamarind  score using FFQ 1st pregnancy visit
j7_1,Custard apple  score using FFQ 1st pregnancy visit
j8_1,Banana  score using FFQ 1st pregnancy visit
j9_1,Sapota  score using FFQ 1st pregnancy visit
j10_1,Tomato  score using FFQ 1st pregnancy visit
j11_1,Cucumber  score using FFQ 1st pregnancy visit
j12_1,Maize  score using FFQ 1st pregnancy visit
j13_1,Kairy(Raw mango)  score using FFQ 1st pregnancy visit
j14_1,Papai  score using FFQ 1st pregnancy visit
j15_1,Kalingad(watermelon)  score using FFQ 1st pregnancy visit
j16_1,Safarchand(apple)  score using FFQ 1st pregnancy visit
j17_1,Jambhool (rose apple)  score using FFQ 1st pregnancy visit
j18_1,Draksha (Grapes)  score using FFQ 1st pregnancy visit
j19_1,Dalimbe (Pomegranate)  score using FFQ 1st pregnancy visit
j20_1,Kavath(Wood apple)  score using FFQ 1st pregnancy visit
j21_1,Ananas (Pineapple)  score using FFQ 1st pregnancy visit
j22_1,Karvanda (karonda)  score using FFQ 1st pregnancy visit
j23_1,Anjir(Fig)  score using FFQ 1st pregnancy visit
j24_1,Umbar  score using FFQ 1st pregnancy visit
j25_1,Limbu(lemon)  score using FFQ 1st pregnancy visit
j26_1,Gajar(Carrot)  score using FFQ 1st pregnancy visit
j27_1,Naral pani(Coconut water)  score using FFQ 1st pregnancy visit
j28_1,Sugarcane  score using FFQ 1st pregnancy visit
j29_1,Ramphal(Bullocks Heart)  score using FFQ 1st pregnancy visit
j30_1,Moong sheng(Gram Tender)  score using FFQ 1st pregnancy visit
j31_1,Dry fruits  score using FFQ 1st pregnancy visit
j32_1,Fanas (jackfruit)  score using FFQ 1st pregnancy visit
j33_1,Harbara (b. gram tender)  score using FFQ 1st pregnancy visit
k1_1,Chicken  score using FFQ 1st pregnancy visit
k2_1,Mutton  score using FFQ 1st pregnancy visit
k3_1,Eggs  score using FFQ 1st pregnancy visit
k4_1,Dry fish  score using FFQ 1st pregnancy visit
k5_1,Fresh fish  score using FFQ 1st pregnancy visit
l1_1,Curds  score using FFQ 1st pregnancy visit
l2_1,Buttermilk  score using FFQ 1st pregnancy visit
l3_1,Ghee  score using FFQ 1st pregnancy visit
l4_1,Ice cream  score using FFQ 1st pregnancy visit
l5_1,Kulfi  score using FFQ 1st pregnancy visit
l6_1,Lassi  score using FFQ 1st pregnancy visit
m1_1,Bread  score using FFQ 1st pregnancy visit
m2_1,Toast  score using FFQ 1st pregnancy visit
m3_1,Khari  score using FFQ 1st pregnancy visit
m4_1,Butter  score using FFQ 1st pregnancy visit
m5_1,Biscuits  score using FFQ 1st pregnancy visit
m6_1,Cake  score using FFQ 1st pregnancy visit
m7_1,Cream role  score using FFQ 1st pregnancy visit
m8_1,Rote  score using FFQ 1st pregnancy visit
m9_1,Nankatai  score using FFQ 1st pregnancy visit
n1_1,Semolina spicy  score using FFQ 1st pregnancy visit
n2_1,Rice flakes  score using FFQ 1st pregnancy visit
n3_1,Bhaji  score using FFQ 1st pregnancy visit
n4_1,Bhel  score using FFQ 1st pregnancy visit
n5_1,Farsan/Shev  score using FFQ 1st pregnancy visit
n6_1,Potato vada  score using FFQ 1st pregnancy visit
n7_1,Chivda  score using FFQ 1st pregnancy visit
n8_1,Chakli  score using FFQ 1st pregnancy visit
n9_1,Pav bhaji  score using FFQ 1st pregnancy visit
n10_1,Idli Sambar  score using FFQ 1st pregnancy visit
n11_1,Dosa  score using FFQ 1st pregnancy visit
n12_1,Uttapa  score using FFQ 1st pregnancy visit
n13_1,Samosa  score using FFQ 1st pregnancy visit
n14_1,Spicy Puri  score using FFQ 1st pregnancy visit
n15_1,Dhokala  score using FFQ 1st pregnancy visit
n16_1,Ragada/pani puri  score using FFQ 1st pregnancy visit
n17_1,Bakarvadi  score using FFQ 1st pregnancy visit
n18_1,Misal  score using FFQ 1st pregnancy visit
n19_1,Kachori  score using FFQ 1st pregnancy visit
o1_1,Semolina sweet  score using FFQ 1st pregnancy visit
o2_1,Sweet Puriya  score using FFQ 1st pregnancy visit
o3_1,Shankarpali  score using FFQ 1st pregnancy visit
o4_1,Revadi  score using FFQ 1st pregnancy visit
o5_1,Modak  score using FFQ 1st pregnancy visit
o6_1,Gode shev  score using FFQ 1st pregnancy visit
o7_1,Sutarfeni  score using FFQ 1st pregnancy visit
o8_1,Karanji  score using FFQ 1st pregnancy visit
o9_1,Anarsa  score using FFQ 1st pregnancy visit
o10_1,Kapanya  score using FFQ 1st pregnancy visit
o11_1,Sanja Puri  score using FFQ 1st pregnancy visit
p1_1,Puranpoli  score using FFQ 1st pregnancy visit
p2_1,Shrikhand  score using FFQ 1st pregnancy visit
p3_1,Bundi  score using FFQ 1st pregnancy visit
p4_1,Porridge  score using FFQ 1st pregnancy visit
p5_1,Puriya  score using FFQ 1st pregnancy visit
p6_1,Jilebi  score using FFQ 1st pregnancy visit
p7_1,Gulabjam  score using FFQ 1st pregnancy visit
p8_1,Amaras  score using FFQ 1st pregnancy visit
p9_1,Pedhe  score using FFQ 1st pregnancy visit
p10_1,Burphi  score using FFQ 1st pregnancy visit
p11_1,Kunda  score using FFQ 1st pregnancy visit
p12_1,Rava/Besan Ladoo  score using FFQ 1st pregnancy visit
p13_1,Mysorepak  score using FFQ 1st pregnancy visit
p14_1,Mahim Halwa/Balushahi  score using FFQ 1st pregnancy visit
q1_1,Shengolya  score using FFQ 1st pregnancy visit
q2_1,Kharvas  score using FFQ 1st pregnancy visit
q3_1,Colocasia vadi  score using FFQ 1st pregnancy visit
q4_1,Masvadi  score using FFQ 1st pregnancy visit
q5_1,Thapevadi  score using FFQ 1st pregnancy visit
q6_1,Wheat chik  score using FFQ 1st pregnancy visit
q7_1,Ambil  score using FFQ 1st pregnancy visit
q8_1,Malida  score using FFQ 1st pregnancy visit
q9_1,Waffers  score using FFQ 1st pregnancy visit
q10_1,Coconut  score using FFQ 1st pregnancy visit
q11_1,Phutane  score using FFQ 1st pregnancy visit
q12_1,Gulgule  score using FFQ 1st pregnancy visit
q13_1,Wheat kheer  score using FFQ 1st pregnancy visit
r1_1,Lemon(number)
r2_1,Tamarind (Kg)
r3_1,Rajgira (number)
r4_1,Green chili (Kgs)
r5_1,Capsicum (Kg)
r6_1,Knol-khol(Kg)
r7_1,Drumstick (kg)
r8_1,Fenugreek(number)
r9_1,Coriander (number)
s1_1,Zizapus (number)
s2_1,Guava (number)
s3_1,Orange (number)
s4_1,Sweet lime (number)
s5_1,Amla (number)
a1_2,Tea  score using FFQ 2nd  pregnancy visit
a2_2,Milk score using FFQ 2nd pregnancy visit
a3_2,Coffee score using FFQ 2nd pregnancy visit
a4_2,Lemon squash score using FFQ 2nd pregnancy visit
b1_2,Jawar/Sorgum Roti score using FFQ 2nd pregnancy visit
b2_2,Bajra/Pearl Millet Roti score using FFQ 2nd pregnancy visit
b3_2,Chapati score using FFQ 2nd pregnancy visit
b4_2,Tahlipith (Cereal+Pulse) score using FFQ 2nd pregnancy visit
b5_2,Dhirde (Bengal gram flour) score using FFQ 2nd pregnancy visit
b6_2,Khakra score using FFQ 2nd pregnancy visit
b7_2,Paratha(Potato Stuff) score using FFQ 2nd pregnancy visit
c1_2,Rice plain score using FFQ 2nd pregnancy visit
c2_2,Rice spicy score using FFQ 2nd pregnancy visit
c3_2,Rice seasoned  score using FFQ 2nd pregnancy visit
c4_2,Khichdi   score using FFQ 2nd pregnancy visit
c5_2,Sweet Rice score using FFQ 2nd pregnancy visit
c6_2,Biryani score using FFQ 2nd pregnancy visit
d1_2,Red gram curry score using FFQ 2nd pregnancy visit
d2_2,Green gram curry score using FFQ 2nd pregnancy visit
d3_2,Black gram curry score using FFQ 2nd pregnancy visit
d4_2,Bengal gram curry score using FFQ 2nd pregnancy visit
d5_2,Moth been curry score using FFQ 2nd pregnancy visit
d6_2,Bengal gram flour (Pithle) score using FFQ 2nd pregnancy visit
d7_2,Ground nut curry score using FFQ 2nd pregnancy visit
d8_2,Cow pea curry score using FFQ 2nd pregnancy visit
d9_2,Lentil curry score using FFQ 2nd pregnancy visit
d10_2,Val dal curry score using FFQ 2nd pregnancy visit
d11_2,Butter milk seasoned score using FFQ 2nd pregnancy visit
d12_2,Sandge amti score using FFQ 2nd pregnancy visit
d13_2,Jit wada/Wada Kanda score using FFQ 2nd pregnancy visit
d14_2,Dal kanda score using FFQ 2nd pregnancy visit
d15_2,Wafwade score using FFQ 2nd pregnancy visit
d16_2,Bhaji amti score using FFQ 2nd pregnancy visit
d17_2,Potatoe Grate-Kanda score using FFQ 2nd pregnancy visit
e1_2,Green gram W score using FFQ 2nd pregnancy visit
e2_2,Bengal gram W score using FFQ 2nd pregnancy visit
e3_2,Cowpea W score using FFQ 2nd pregnancy visit
e4_2,Horse gram W score using FFQ 2nd pregnancy visit
e5_2,Mothbean sprouted score using FFQ 2nd pregnancy visit
e6_2,Peas score using FFQ 2nd pregnancy visit
e7_2,Gavale Wal score using FFQ 2nd pregnancy visit
e8_2,Rajma score using FFQ 2nd pregnancy visit
e9_2,Red gram W score using FFQ 2nd pregnancy visit
e10_2,Black beans score using FFQ 2nd pregnancy visit
e11_2,Pavata score using FFQ 2nd pregnancy visit
e12_2,Massoor(lentil) score using FFQ 2nd pregnancy visit
e13_2,Hurads dal score using FFQ 2nd pregnancy visit
e14_2,Soyabean Usal score using FFQ 2nd pregnancy visit
f1_2,Potato score using FFQ 2nd pregnancy visit
f2_2,Onion score using FFQ 2nd pregnancy visit
f3_2,Brinjal score using FFQ 2nd pregnancy visit
f4_2,White pumpkin score using FFQ 2nd pregnancy visit
f5_2,Red pumpkin score using FFQ 2nd pregnancy visit
f6_2,Cluster beans score using FFQ 2nd pregnancy visit
f7_2,Lady finger score using FFQ 2nd pregnancy visit
f8_2,Knol-khol score using FFQ 2nd pregnancy visit
f9_2,Cabagge score using FFQ 2nd pregnancy visit
f10_2, score using FFQ 2nd pregnancy visit
f11_2,Bitter gourd score using FFQ 2nd pregnancy visit
f12_2,Ridge gourd score using FFQ 2nd pregnancy visit
f13_2,Capsicum score using FFQ 2nd pregnancy visit
f14_2,Drumstick score using FFQ 2nd pregnancy visit
f15_2,Shravan Ghevda score using FFQ 2nd pregnancy visit
f16_2,Tondali score using FFQ 2nd pregnancy visit
f17_2,Turmudya sheng score using FFQ 2nd pregnancy visit
f18_2,Walvar sheng score using FFQ 2nd pregnancy visit
f19_2,Mula(Raddish} score using FFQ 2nd pregnancy visit
f20_2,Suran score using FFQ 2nd pregnancy visit
f21_2,Chawli sheng (Cow pea) score using FFQ 2nd pregnancy visit
f22_2,Ghosale score using FFQ 2nd pregnancy visit
g1_2,Spinach score using FFQ 2nd pregnancy visit
g2_2,Fenugreek score using FFQ 2nd pregnancy visit
g3_2,Amaranthas score using FFQ 2nd pregnancy visit
g4_2,Safflower score using FFQ 2nd pregnancy visit
g5_2,Onion stalk score using FFQ 2nd pregnancy visit
g6_2,Bengal gram leaves score using FFQ 2nd pregnancy visit
g7_2,Colocasia score using FFQ 2nd pregnancy visit
g8_2,Coriander vadi score using FFQ 2nd pregnancy visit
g9_2,Shepu score using FFQ 2nd pregnancy visit
g10_2,Amaranth spined score using FFQ 2nd pregnancy visit
g11_2,Hatga score using FFQ 2nd pregnancy visit
g12_2,Chilu score using FFQ 2nd pregnancy visit
g13_2,Chuka/Chakwat score using FFQ 2nd pregnancy visit
g14_2,Ghas bhaji score using FFQ 2nd pregnancy visit
h1_2,Chili/Garlic score using FFQ 2nd pregnancy visit
h2_2,Groundnut score using FFQ 2nd pregnancy visit
h3_2,Sesame/Nigerseeds score using FFQ 2nd pregnancy visit
h4_2,Coconut score using FFQ 2nd pregnancy visit
h5_2,Onion score using FFQ 2nd pregnancy visit
h6_2,Tomato score using FFQ 2nd pregnancy visit
h7_2,Pickle score using FFQ 2nd pregnancy visit
h8_2,Papad/kurdai score using FFQ 2nd pregnancy visit
h9_2,Pudins(mint) score using FFQ 2nd pregnancy visit
h10_2,Sandge(fried) score using FFQ 2nd pregnancy visit
i1_2,Sago score using FFQ 2nd pregnancy visit
i2_2,Potato bhaji/Chivda score using FFQ 2nd pregnancy visit
i3_2,Groundnut chikki/ladoo score using FFQ 2nd pregnancy visit
i4_2,Groundnut/Jaggery score using FFQ 2nd pregnancy visit
i5_2,French millet score using FFQ 2nd pregnancy visit
i6_2,Sweet Potato score using FFQ 2nd pregnancy visit
i7_2,Others score using FFQ 2nd pregnancy visit
i8_2,Kachori score using FFQ 2nd pregnancy visit
i9_2,Tilvadi score using FFQ 2nd pregnancy visit
i10_2,Rajgira Wadi score using FFQ 2nd pregnancy visit
i11_2,Sago wada score using FFQ 2nd pregnancy visit
j1_2,Zyzapus score using FFQ 2nd pregnancy visit
j2_2,Guava score using FFQ 2nd pregnancy visit
j3_2,Orange score using FFQ 2nd pregnancy visit
j4_2,Sweet lime score using FFQ 2nd pregnancy visit
j5_2,Amla score using FFQ 2nd pregnancy visit
j6_2,Tamarind score using FFQ 2nd pregnancy visit
j7_2,Custard apple score using FFQ 2nd pregnancy visit
j8_2,Banana score using FFQ 2nd pregnancy visit
j9_2,Sapota score using FFQ 2nd pregnancy visit
j10_2,Tomato score using FFQ 2nd pregnancy visit
j11_2,Cucumber score using FFQ 2nd pregnancy visit
j12_2,Maize score using FFQ 2nd pregnancy visit
j13_2,Kairy(Raw mango) score using FFQ 2nd pregnancy visit
j14_2,Papai score using FFQ 2nd pregnancy visit
j15_2,Kalingad(watermelon) score using FFQ 2nd pregnancy visit
j16_2,Safarchand(apple) score using FFQ 2nd pregnancy visit
j17_2,Jambhool (rose apple) score using FFQ 2nd pregnancy visit
j18_2,Draksha (Grapes) score using FFQ 2nd pregnancy visit
j19_2,Dalimbe (Pomegranate) score using FFQ 2nd pregnancy visit
j20_2,Kavath(Wood apple) score using FFQ 2nd pregnancy visit
j21_2,Ananas (Pineapple) score using FFQ 2nd pregnancy visit
j22_2,Karvanda (karonda) score using FFQ 2nd pregnancy visit
j23_2,Anjir(Fig) score using FFQ 2nd pregnancy visit
j24_2,Umbar score using FFQ 2nd pregnancy visit
j25_2,Limbu(lemon) score using FFQ 2nd pregnancy visit
j26_2,Gajar(Carrot) score using FFQ 2nd pregnancy visit
j27_2,Naral pani(Coconut water) score using FFQ 2nd pregnancy visit
j28_2,Sugarcane score using FFQ 2nd pregnancy visit
j29_2,Ramphal(Bullocks Heart) score using FFQ 2nd pregnancy visit
j30_2,Moong sheng(Gram Tender) score using FFQ 2nd pregnancy visit
j31_2,Dry fruits score using FFQ 2nd pregnancy visit
j32_2,Fanas (jackfruit) score using FFQ 2nd pregnancy visit
j33_2,Harbara (b. gram tender) score using FFQ 2nd pregnancy visit
k1_2,Chicken score using FFQ 2nd pregnancy visit
k2_2,Mutton score using FFQ 2nd pregnancy visit
k3_2,Eggs score using FFQ 2nd pregnancy visit
k4_2,Dry fish score using FFQ 2nd pregnancy visit
k5_2,Fresh fish score using FFQ 2nd pregnancy visit
l1_2,Curds score using FFQ 2nd pregnancy visit
l2_2,Buttermilk score using FFQ 2nd pregnancy visit
l3_2,Ghee score using FFQ 2nd pregnancy visit
l4_2,Ice cream score using FFQ 2nd pregnancy visit
l5_2,Kulfi score using FFQ 2nd pregnancy visit
l6_2,Lassi score using FFQ 2nd pregnancy visit
m1_2,Bread score using FFQ 2nd pregnancy visit
m2_2,Toast score using FFQ 2nd pregnancy visit
m3_2,Khari score using FFQ 2nd pregnancy visit
m4_2,Butter score using FFQ 2nd pregnancy visit
m5_2,Biscuits score using FFQ 2nd pregnancy visit
m6_2,Cake score using FFQ 2nd pregnancy visit
m7_2,Cream role score using FFQ 2nd pregnancy visit
m8_2,Rote score using FFQ 2nd pregnancy visit
m9_2,Nankatai score using FFQ 2nd pregnancy visit
n1_2,Semolina spicy score using FFQ 2nd pregnancy visit
n2_2,Rice flakes score using FFQ 2nd pregnancy visit
n3_2,Bhaji score using FFQ 2nd pregnancy visit
n4_2,Bhel score using FFQ 2nd pregnancy visit
n5_2,Farsan/Shev score using FFQ 2nd pregnancy visit
n6_2,Potato vada score using FFQ 2nd pregnancy visit
n7_2,Chivda score using FFQ 2nd pregnancy visit
n8_2,Chakli score using FFQ 2nd pregnancy visit
n9_2,Pav bhaji score using FFQ 2nd pregnancy visit
n10_2,Idli Sambar score using FFQ 2nd pregnancy visit
n11_2,Dosa score using FFQ 2nd pregnancy visit
n12_2,Uttapa score using FFQ 2nd pregnancy visit
n13_2,Samosa score using FFQ 2nd pregnancy visit
n14_2,Spicy Puri score using FFQ 2nd pregnancy visit
n15_2,Dhokala score using FFQ 2nd pregnancy visit
n16_2,Ragada/pani puri score using FFQ 2nd pregnancy visit
n17_2,Bakarvadi score using FFQ 2nd pregnancy visit
n18_2,Misal score using FFQ 2nd pregnancy visit
n19_2,Kachori score using FFQ 2nd pregnancy visit
o1_2,Semolina sweet score using FFQ 2nd pregnancy visit
o2_2,Sweet Puriya score using FFQ 2nd pregnancy visit
o3_2,Shankarpali score using FFQ 2nd pregnancy visit
o4_2,Revadi score using FFQ 2nd pregnancy visit
o5_2,Modak score using FFQ 2nd pregnancy visit
o6_2,Gode shev score using FFQ 2nd pregnancy visit
o7_2,Sutarfeni score using FFQ 2nd pregnancy visit
o8_2,Karanji score using FFQ 2nd pregnancy visit
o9_2,Anarsa score using FFQ 2nd pregnancy visit
o10_2,Kapanya score using FFQ 2nd pregnancy visit
o11_2,Sanja Puri score using FFQ 2nd pregnancy visit
p1_2,Puranpoli score using FFQ 2nd pregnancy visit
p2_2,Shrikhand score using FFQ 2nd pregnancy visit
p3_2,Bundi score using FFQ 2nd pregnancy visit
p4_2,Porridge score using FFQ 2nd pregnancy visit
p5_2,Puriya score using FFQ 2nd pregnancy visit
p6_2,Jilebi score using FFQ 2nd pregnancy visit
p7_2,Gulabjam score using FFQ 2nd pregnancy visit
p8_2,Amaras score using FFQ 2nd pregnancy visit
p9_2,Pedhe score using FFQ 2nd pregnancy visit
p10_2,Burphi score using FFQ 2nd pregnancy visit
p11_2,Kunda score using FFQ 2nd pregnancy visit
p12_2,Rava/Besan Ladoo score using FFQ 2nd pregnancy visit
p13_2,Mysorepak score using FFQ 2nd pregnancy visit
p14_2,Mahim Halwa/Balushahi score using FFQ 2nd pregnancy visit
q1_2,Shengolya score using FFQ 2nd pregnancy visit
q2_2,Kharvas score using FFQ 2nd pregnancy visit
q3_2,Colocasia vadi score using FFQ 2nd pregnancy visit
q4_2,Masvadi score using FFQ 2nd pregnancy visit
q5_2,Thapevadi score using FFQ 2nd pregnancy visit
q6_2,Wheat chik score using FFQ 2nd pregnancy visit
q7_2,Ambil score using FFQ 2nd pregnancy visit
q8_2,Malida score using FFQ 2nd pregnancy visit
q9_2,Waffers score using FFQ 2nd pregnancy visit
q10_2,Coconut score using FFQ 2nd pregnancy visit
q11_2,Phutane score using FFQ 2nd pregnancy visit
q12_2,Gulgule score using FFQ 2nd pregnancy visit
q13_2,Wheat kheer score using FFQ 2nd pregnancy visit
r1_2,Lemon(number)
r2_2,Tamarind (Kg)
r3_2,Rajgira (number)
r4_2,Green chili (Kgs)
r5_2,Capsicum (Kg)
r6_2,Knol-khol(Kg)
r7_2,Drumstick (kg)
r8_2,Fenugreek(number)
r9_2,Coriander (number)
s1_2,Zizapus (number)
s2_2,Guava (number)
s3_2,Orange (number)
s4_2,Sweet lime (number)
s5_2,Amla (number)
ncin30_6,normalized childs 30 min insulin at 6y-sqrt
ncin2h_6,normalized childs 2h insulin at 6y-log
nchomar6old,normalized childs insulin resistance at 6y-log using mathews 1985 ref
ncgl30_6,normalized childs 30 min glucose at 6y-log
nctg6,normalized childs triglycerides at 6y-log
nclept_6,normalized childs leptin at 6y-0.6
ncss6,normalized childs subscapular at 6y-rec
nctr6,normalized childs tricep at 6y-log
ncsstr6,normalized childs ss/tr ratio-log
ncbi6,normalized childs bicep at 6y-rec
ncsu6,normalized childs subscapular at 6y-log
nfinsf_6,normalized fathers fast inulin at 6y-log
nfin2h_6,normalized fathers 2h insulin at 6y-log
nfhomar6old,normalized fathers insulin resistance-log using mathews 1985 ref
nfgluf_6,normalized fathers fast glucose at 6y-rec
nfgl2h_6,normalized fathers 2h glucose at 6y-log
nfchol6,normalized fathers total cholesterol at 6y-log
nftg6,normalized fathers triglycerides at 6y-log
nfss6,normalized fathers subscapular at 6y-log
nftr6,normalized fathers triceps at 6y-log
nfbi6,normalized fathers biceps at 6y-rec
nfsu6,normalized fathers suprailiac at 6y-log
nfbmi6,normalized fathers bmi at 6y-log
nfsyst6,normalized fathers syst bp at 6y-rec
nfdia6,normalized fathers dist bp at 6y-log
nminsf_6,normalized mothers fast insulin at 6y-log
nmin2h_6,normalized mothers 2h insulin at 6y-log
nmgluf_6,normalized mothers fast glucose at 6y-rec
nmgl2h_6,normalized mothers 2h glucose at 6y-log
nmhdl6,normalized mothers hdl cholesterol at 6y-log
nmtg6,normalized mothers triglycerides at 6y-log
nmwt6,normalized maternal wt at 6y-log
nmss6,normalized mothers subscapular at 6y-log
nmtr6,normalized mothers triceps at 6y-log
nmbi6,normalized mothers biceps at 6y-rec
nmwaist6,normalized mothers waist circ at 6y-log
nsu,normalized maternal prepreg suprailiac-log
nbi,normalized maternal prepreg biceps-log
nrcf1,normalized red cell folate (ng/ml) at 18 wks-logged
nrcf2,normalized red cell folate (ng/ml) at 28 wks-logged
ffqsea1,season of 1st ffq
ffqsea2,season of 2nd ffq
modi6en,modi subject from final sample   698/797
nomeas72,no birth measurement within 72 hours
cagedx6,childs age at dexa- scan 6y
magedx6,mother age at dexa-scan 6y
term,full term-pre term
inlspreg,years since last pregnancy
mthdel,month of delivery
cftp_9,childs fat% by dxa (fatmass/stissue) at 6y
cltp_9,childs lean% by dxa (leanmass/stissue) at 6y
bmdpap,filter for bmd paper
ncdxfat9,normalized childs fat mass-sqr
nfdxfat9,normalized fathers fat mass-log
nmdxfat9,normalized mothers fat mass-log
cgttdxdf,diff beween gtt & dxa
dxfilt,filter for dxa & gtt +- 4 months
nmbmi6,normalized maternal bmi  at 6y-log
gestgr,gestation at delivery groups
seasdel,season of delivery
lbw,"lbw, nbw"
ncdxag6,normalized age at dexa-child
bfldt,date of last bf recall
bf1,have you ever brestfed?
bf1r,reason for not breast feeding
bf2,hours after delivery
bf3,if not fed within 24h did you disposed off the milk?
bf4,is baby top fed?
bf41,month top fed started?
bf4a,cow milk
bf4b,buffaloe milk
bf4c,lamb milk
bf4d,powder milk
bf7,weaning started?
bf71,weaning month
bf7a,"buiscuits,bread"
bf7b,"rice, cereals"
bf7c,fruits
bf7d,adult food
bf8,do you still breastfeed?
bf9a,insuff milk
bf9b,pregnancy
bf9c,pregnancy related illness
bf9d,mothers choice
bf9e,other reason
bf9er,details of otherreason
pmnsbf,pmns breast feeding questionnaire
agebf,age of the baby at last bf recall from mother
bf2gr,breast feeding started after how many hrs?
bf41gr,top feed started at which month
bf71gr,weaning started at which month
stbf.WITHIN A YEAR,1
stbf.AFTER A YEAR,2
nctnf_6,normalized childs tnf alpha at 6y-log
ncwbc_6,normalized childs tlc at 6y-log
ncil6_6,normalized childs interlukin-6 at 6y-log
nccrp_6,normalized childs crp at 6y-log
lnb12_v1,normalized maternal b12 at 18 wks-logged
tb12v2,normalized maternal b12 at 28 wks  1-1/sqrt
lnmma_v1,normalized maternal methyl malonic acid at 18 wks-log
lnmma_v2,normalized maternal methyl malonic acid at 28 wks-log
lnhcy_v1,normalized maternal homocysteine at 18 wks-log
lnhcy_v2,normalized maternal homocysteine at 28 wks-log
nsfol1,normalized maternal serum folate at 18 wks-log
nsfol2,normalized maternal serum folate at 28 wks-log
ncb12_6,normalized child b12 at 6y (logged)
ncrbp4_6,normalized child rbp4 at 6y-sqrt
nctotaladip_6,normalized child  total adiponectin at 6y-logged
ntotfat1,normalized fat intake at 18 wks-log
ntotfat2,normalized fat intake at 28 wks-log
ntotcal1,normalized caloric intake at 18 wks-sqrt
ntotcal2,normalized caloric intake at 28 wks-sqrt
ntotpro1,normalized protein intake at 18 wks-sqrt
ntotpro2,normalized protein intake at 28 wks-sqrt
ntotcar1,normalized carbohydrate intake at 18 wks-sqrt
ntotcar2,normalized carbohydrate intake at 28 wks-sqrt
ncdxfat3,normalized childs trunk fatmass at 6y-log
ncdxfat2,normalized childs leg fatmass at 6y-log
ncdxfat1,normalized childs arm fatmass at 6y-sqrt
ncdxfat4,normalized childs ribs fatmass at 6y-log
bey6p5y,children with dxa within +- 6 mth of the 6th bday
dxbey6p5,children dxa beyond 6.5 yrs
win3m,children within +- 3 mth of the 6th bday
win6m,children within +- 6 mth of the 6th bday
dxwin3m,children with dxa within +-3 mth of the 6th bday
dxwin6m,children dxa at 6ywithin 6 months of 6th birday
diff, difference between ages of gtt & dxa at 6y
anom1,anomalies on ultrasound at 1st visit
anom1spe,details of anomalies on ultrasound at 1st visit
anom2,anomalies on ultrasound at 2nd  visit
anom2spe,details of anomalies on ultrasound at 2nd  visit
anom3,anomalies on ultrasound at 3rd visit
anom3spe,details of anomalies on ultrasound at  3rd  visit
exbr,months of exclusibve breast feeding
decileb129,B12 deilce fup at 9y
decileb12,28 wk mat b12 decile
decilefol,28 wk mat folate decile
hype_pre,hypertension in pregnancy
hype_npr,hyopertension in non pregnancy
tuber,tuberculosis?
heart,heart diseas?
renal,renal disease?
anaemia,anaemia?
other,other abnormalities?
other_sp,other_spec
betel,betel nut?
fingr,gestation at delivery groups
vitd3_2,maternal 25-OH-vitmin D (ng/mL) at 28 weeks divide nm/L by 2.496
nvitd3_2,normalized maternal 25-OH-vitmin D (ng/mL) at 28 weeks-cuberoot
month2,Month of 2nd visit
ncrp_2,normalized maternal  CRP ng/ml at 28 wks-logged
finfht,fathers height (cm)
finfhc,fathers head circ (cm)
cmig,migration at 6y
rth,child anthro done on rt hand at pmns2
cpmns2,child status-pmns2
cblcd,child blood status at pmns2
chc_i,child head circ (cm)-pmns2
csht_i,child sittinh height (cm)-pmns2
cma_i,child muac (cm)-pmns2
cwaist_i,child waist circ (cm)-pmns2
chip_i,child hip circ (cm)-pmns2
cbmi_i,child bmiI (kg/m2)-pmns2
cwhr_i,child whr-pmns2
csstr_i,child s/t ratio -pmns2
dhand,dominant hand-pmns2
rh1,hand grip-rt hand 1st reading at pmns2
rh2,hand grip-rt hand 2nd reading at pmns2
lh1,hand grip-lt hand 1st reading at pmns2
lh2,hand grip-lt hand 2nd reading at pmns2
cbptm_i,child-blood pressure timing at pmns2
cbptmp_i,tempartutre at the time of childs bp at pmns2
sy1_i,child-syst bp (mmhg) 1st reading at pmns2
di1_i,child-diast bp(mmhg)1st reading at pmns2
pul1_i,child-pulse (/min)1st reading at pmns2
csys_i,child-syst bp (mmhg) 2nd reading at pmns2
cdia_i,child-diast bp(mmhg) 2nd reading at pmns2
cpul_i,child-pulse (/min)2nd reading at pmns2
cbp_i,child-blood pressure recorder at pmns2
f1_c_sys_12y,Child systolic BP at pmns2
cbpcomm_i,comment  on childs bp at pmns2
rh_i,hand grip-rt hand-pmns2
lh_i,hand grip-lt hand-pmns2
csch_i,child school going at pmns2?
cscstd_i,standard in scheool a the pmn2
g_in,mothers- gravida at pmns2
p_in,mother-parity at pmns2
a_in,mother-abortions at pmns2
d_in,mother-deliveries at pmns2
prg_i,mother-pregnant at pmns2
mintocu,mother occupation at pmns2
mbptmp_i,room temparature(oc) during mothers blood pressure at pmns2
msys1_i,mother-syst bp (mmhg) 1st reading at pmns2
msys_i,mother-syst bp (mmhg) 2nd reading at pmns2
mdia1_i,mother-diast bp(mmhg)1st reading at pmns2
